Category;Business Name;Opinions;TrustPilot Score;Subcategories;Adress;City;ZipCode
Belleza y bienestar;DPI Cosmetology;68;4,8;Tienda de salud y belleza;;;
Belleza y bienestar;Vitale Cosmética;52;4,8;Tienda de artículos de belleza;Enríquez Parrondo, 10 – 5º ;O Carballiño;32500
Belleza y bienestar;DIVAIN ESPAÑA;9037;4,7;Perfumería;Ctra. Astorga-Pi 34;San Justo de la Vega;24710
Belleza y bienestar;Cocunat;4443;4,7;Tienda de cosméticos;Carrer de Santa Teresa 6;Barcelona;08012
Belleza y bienestar;Treated.com Spain;1114;4,7;Belleza y bienestar;Airport - Senningerberg 5, rue Heienhaff;Senningerberg;L-1736
Belleza y bienestar;Perfumarte;566;4,7;Perfumería, Fabricante de productos cosméticos;Pol. Industrial de Picassent, Calle Cinco nº20;Picassent;46229
Belleza y bienestar;Ibero SARMs;482;4,7;Tienda de vitaminas y suplementos;Via Sergia 65;Mataró;08302
Belleza y bienestar;Yo soy Venus;378;4,7;Tienda de artículos de belleza, Tienda de cosméticos;;;
Belleza y bienestar;Ibizaloe;278;4,7;Tienda de cosméticos;Avenida de Portmany 84;Ibiza;07820
Belleza y bienestar;GoPrimal;135;4,7;Tienda de vitaminas y suplementos;;;
Belleza y bienestar;Herbolario Bio;110;4,7;Tienda de cosméticos;C/ República Argentina, 6;Silleda;36540
Belleza y bienestar;Pure Organic CBD;106;4,7;Tienda de vitaminas y suplementos;Carrer Cap de la Nao  Placita 135, Local 5 Piso 1 Arriba de Villalux;Jávea;03730
Belleza y bienestar;cbdsalud.pro;86;4,7;Herbolario;C/ Oviedo nº 13, 4ºE;ZARAGOZA;50007
Belleza y bienestar;La Señora Borde-R-LINE;75;4,7;Perfumería, Tienda de cosméticos;Camí de la mar 89;Alfaz Del Pi;03580
Belleza y bienestar;Tahe;61;4,7;Industria cosmética, Proveedor de productos de belleza, Tienda de artículos de belleza, Proveedor de cosméticos y perfumes, Tienda de cosméticos;Av. de Grecia, parcela 5.1, Pol. Ind. Las Salinas;Alhama de Murcia;30840
Belleza y bienestar;ONLYCBDFANS SL;58;4,7;Tienda de cannabis, Herbolario, Tienda de hierbas, Clínica del sueño, Tienda de artículos para el cuidado personal, Estudio de yoga;Carrer del Campament;Benimamet;46035 
Belleza y bienestar;Iksircosmetics;55;4,7;Tienda de salud y belleza, Tienda de artículos de belleza;C/Silva 2, 1-4;Madrid;28013
Belleza y bienestar;Made in Tribe;51;4,7;Tienda de cosméticos, Tienda de salud y belleza;Calle Bizkaia 13, bajo.;Zarautz;20800
Belleza y bienestar;Per Purr Cosmetics;43;4,7;Fabricante de productos cosméticos, Proveedor de productos de belleza, Industria cosmética, Mayorista de cosméticos, Tienda de artículos para el cuidado personal;Calle Loeches, 65;Alcorcón, Madrid;28925
Belleza y bienestar;Matiz;40;4,7;Tienda de ropa, Tienda de bolsos, Tienda de artículos de belleza, Tienda de decoración e interiorismo, Tienda de accesorios de moda;;;
Belleza y bienestar;Kannaia;40;4,7;Tienda de hierbas;;;
Belleza y bienestar;HEY CBD;36;4,7;Centro de bienestar, Tienda de vitaminas y suplementos, Programa de bienestar;Calle Santiago 27, 5 derecha;Zaragoza;50003
Belleza y bienestar;Cannandalus CBD;32;4,7;Tienda de cannabis, Tienda de insumos de aromaterapia, Tienda de cosméticos, Tienda de flores secas, Tienda de cigarrillos electrónicos, Tienda de hierbas;;;
Belleza y bienestar;Nuuyu;25;4,7;Tienda de vitaminas y suplementos, Industria cosmética, Tienda de cosméticos, Máquina expendedora de productos para el cuidado de la piel;Paseo de Gracia, 118 – Principal;Barcelona;08008
Belleza y bienestar;Óptica Universitaria;6954;4,6;Centro de bienestar, Proveedor de lentes de contacto, Tienda de accesorios de moda, Mayorista de gafas, Tienda de gafas de sol;;;
Belleza y bienestar;Anastore Es;3042;4,6;Farmacia, Servicio de fitness y nutrición;;;
Belleza y bienestar;Perfumes PERFUMARE;603;4,6;Perfumería;;;
Belleza y bienestar;Solocolagenos;366;4,6;Servicio de fitness y nutrición, Farmacia;;;
Belleza y bienestar;Flower Farm CBD Shop ;103;4,6;Herboristería, Tienda de cannabis, Tienda de artículos para el cuidado personal;;;
Belleza y bienestar;The Star Poster;56;4,6;Belleza y bienestar;;;
Belleza y bienestar;uncanny.life;35;4,6;Tienda de salud y belleza, Tienda de cannabis, Tienda de cosméticos, Tienda de alimentos naturales, Tienda de nutrición deportiva;Calle Fernando el Santo 27;Madrid;28010
Belleza y bienestar;Goodandcurated;32;4,6;Herbolario;Carrer Sant Gervasi de Cassoles 102;Barcelona;08022
Belleza y bienestar;NG Labs;27;4,6;Investigación y desarrollo de productos, Comercio, Tienda de vitaminas y suplementos;Carrer Pintor Camarón, 8;Benicàssim;12560
Belleza y bienestar;NOTINO ES;3232;4,5;Perfumería, Tienda de cosméticos;;;
Belleza y bienestar;Perfume Clic;1316;4,5;Perfumería;;;
Belleza y bienestar;Perfumes10;1256;4,5;Perfumería;Tucan 4 Local;El cuervo;41749
Belleza y bienestar;Perfume's Club España;1149;4,5;Tienda de cosméticos;;;
Belleza y bienestar;Bulevip;372;4,5;Tienda de deportes, Tienda de salud y belleza;C/ Ribera del Beiro S/N (Bajos centro deportivo);Granada;186014
Belleza y bienestar;Sileu;186;4,5;Centro de bienestar;Calle de Los Omeyas 5, Local;Cordoba;14005
Belleza y bienestar;Pranamat ECO España;57;4,5;Masajista, Tienda de medicina oriental;;;
Belleza y bienestar;Farmacia Liceo;57;4,5;Farmacia, Audiólogo, Salón de belleza, Farmacia homeopática, Farmacia online, Farmacia veterinaria;;;
Belleza y bienestar;cokocbd.com;42;4,5;Tienda de cosméticos;Ronda Sant Antoni 26, Local 2;Barcelona;08001
Belleza y bienestar;Kingofcotton;33;4,5;Belleza y bienestar;;;
Belleza y bienestar;Recambioscoches;3644;4,4;Belleza y bienestar;Partex Global GmbH Marzahner Str. 21;Berlin;13053
Belleza y bienestar;parfumdreams;1512;4,4;Belleza y bienestar;Meisenstr. 12;Pfedelbach;74629
Belleza y bienestar;Rotumax;1243;4,4;Belleza y bienestar;;;
Belleza y bienestar;Es Solbia;1031;4,4;Belleza y bienestar;;;
Belleza y bienestar;3INA Makeup Global;1005;4,4;Tienda de cosméticos;Velazquez, 53 Bajo Izda;Madrid;28001
Belleza y bienestar;Mi Libro Favorito;588;4,4;Belleza y bienestar;;;
Belleza y bienestar;Diagnostico en casa;536;4,4;Centro de bienestar, Equipamiento y suministros hospitalarios, Centro de asistencia para embarazadas, Veterinario/a;Los Omeyas, 5 local;Córdoba;14005
Belleza y bienestar;BellezaMagica.com;132;4,3;Tienda de artículos de belleza, Tienda de cosméticos, Mayorista de artículos de higiene, Perfumería;;;
Belleza y bienestar;Abiby.es;113;4,3;Industria cosmética, Proveedor de productos de belleza, Proveedor de cosméticos y perfumes, Tienda de cosméticos, Tienda de productos capilares;;;
Belleza y bienestar;Natural Suit CBD;83;4,3;Tienda de cannabis, Herbolario, Herboristería;;;
Belleza y bienestar;Higeacbd;34;4,3;Farmacia, Tienda de cannabis, Tienda de cosméticos, Herboristería, Tienda de medicamentos orgánicos, Tienda de artículos para el cuidado personal;C/Manolo Quirós 2;Gijón;33213
Belleza y bienestar;CBD Organics;25;4,3;Tienda de artículos para el cuidado personal, Tienda de cannabis, Herbolario, Herboristería, Tienda de hierbas, Tienda de vitaminas y suplementos;Convent, 5;Altea;03590
Belleza y bienestar;myprotein.es;10.543;4,2;Belleza y bienestar;Meridian House, Gadbrook Park, Gadbrook Way;Northwich;CW9 7RA
Belleza y bienestar;Dyson España;314;4,2;Tienda de electrodomésticos, Tienda de productos capilares, Tienda de aspiradoras;;;
Belleza y bienestar;Mascarillasmartmask;167;4,2;Tienda de artículos para el cuidado personal;Plaza de la Unión Europea, sn;Finestrat;03509
Belleza y bienestar;Europafarma;30;4,2;Tienda de artículos para el cuidado personal;;;
Belleza y bienestar;Olistic Research Labs;231;4,1;Tienda de productos capilares, Tienda de salud y belleza, Tienda de vitaminas y suplementos;Ronda del General Mitre, 126 Ático, 2ª;Barcelona;08017
Belleza y bienestar;Brasty.es;210;4,1;Relojería, Tienda de accesorios de moda, Joyería, Perfumería;;;
Belleza y bienestar;Hispacbd;162;4,1;Tienda de cosméticos;Pinos Puente 37;Peligros;18210
Belleza y bienestar;herbal-tienda.es;147;4,1;Tienda de artículos para el cuidado personal;;;
Belleza y bienestar;Conceive Plus Spain - Productos de fertilidad;68;4,1;Tienda de vitaminas y suplementos;;;
Belleza y bienestar;NICHE BEAUTY LAB;27;4,1;Tienda de cosméticos, Tienda de artículos de belleza, Tienda de salud y belleza;Carretera de Malgrat, 20, Nave 10;Girona;17300
Belleza y bienestar;Lookfantastic;5812;4;Belleza y bienestar;Meridian House, Gadbrook Park, Gadbrook Way;Cheshire;CW9 7RA
Belleza y bienestar;Perfumerías Primor;2086;4;Tienda de cosméticos;;;
Belleza y bienestar;Beauteprivee;918;4;Belleza y bienestar;;;
Belleza y bienestar;Laserum;127;4;Salón de belleza;;;
Belleza y bienestar;Salunatur;30;4;Tienda de salud y belleza;Rúa Monte Louredo 16;Pontevedra;36158
Belleza y bienestar;ShytoBuy España;602;3,9;Clínica dermatológica;Comfort Click Ltd. Apartado 50.646. Madrid, España;Madrid;28080
Belleza y bienestar;Teletienda Online;572;3,9;Tienda de artículos para el hogar, Empresa de electrónica, Tienda de accesorios de moda, Tienda de salud y belleza, Tienda de deportes;Calle Trajà, 5, Bajo;Barcelona;08004
Belleza y bienestar;Superdry ES;11.048;3,8;Belleza y bienestar;Unit 60 The Runnings;Cheltenham;GL51 9NW
Belleza y bienestar;Traininn;952;3,8;Belleza y bienestar;;;
Belleza y bienestar;Centros Único;550;3,8;Servicio de depilación por láser;;;
Belleza y bienestar;Valy Cosmetics;113;3,8;Tienda de artículos de belleza, Fabricante de productos cosméticos, Tienda de salud y belleza;Plaça Pau Vila, 1, Sector A, primera planta;Barcelona;08039
Belleza y bienestar;Beautytheshop;319;3,7;Tienda de cosméticos;calle albuñol nave 6 albologe;granada;18220
Belleza y bienestar;IDEAL OF SWEDEN;236;3,7;Belleza y bienestar;;;
Belleza y bienestar;gafas.es;1092;3,5;Belleza y bienestar;Calle Escultor Gregorio Hernández 6;Cabezo de Torres;30110
Belleza y bienestar;Floraqueen;13.610;3;Belleza y bienestar;;;
Belleza y bienestar;Belletica;75;2,9;Tienda de artículos de belleza;;;
Belleza y bienestar;Carethy;9477;2,5;Tienda de salud y belleza, Tienda de artículos de belleza, Tienda de nutrición deportiva, Tienda de vitaminas y suplementos;Calle de la Quimica 9-23, ;Llinars del Vallès;08450
Belleza y bienestar;Port;68;2,4;Tienda de salud y belleza;;;
Belleza y bienestar;Nutritienda;272;2,3;Tienda de salud y belleza, Tienda de cosméticos, Herbolario, Perfumería, Tienda de suministros para mascotas, Tienda de nutrición deportiva;Calle Holanda 5;Griñón;28971
Belleza y bienestar;Ecomerzpro;1233;2,1;Tienda de electrónica, Tienda de artículos de belleza, Tienda de equipos para fitness, Tienda de equipajes, Smart Shop;Calle Dublin 1 ;Las Rozas de Madrid ;28232 
Belleza y bienestar;PerfumesPremium;1156;1,3;Belleza y bienestar;Carrer Blas Infante;Vila-real;12540
Casa y jardín;Gothic-Zone;545;4,9;Tienda de ropa, Tienda de bolsos, Tienda de decoración e interiorismo, Tienda de accesorios de moda;Calle Somera, 18;Bilbao;48005
Casa y jardín;Papelería Librería Arte;499;4,9;Papelería, Librería, Tienda de artesanías, Tienda de juegos, Tienda de hobbies, Tienda de suministros para oficinas;Plaza de las Delicias,15;La Carolina;23200
Casa y jardín;SCHARLAU;266;4,9;Tienda de productos de cuero, Tienda de bolsos y equipaje;Carrer Gato Pérez 33 P.L. Mas d'en Cisa ;Sentmenat;08181
Casa y jardín;Gigislab;136;4,9;Papelería, Tienda de hobbies, Tienda de scrapbooking;PENYAGOLOSA 7, 3 C;VILA-REAL;12540
Casa y jardín;Dferreteria;112;4,9;Ferretería;;;
Casa y jardín;Colchonería F.J;111;4,9;Colchonería, Tienda de muebles para dormitorio, Tienda de colchones;Carrer de Floridablanca 45;Badalona;08914
Casa y jardín;Alimaq;102;4,9;Tienda de suministros para restaurantes, Tienda de electrodomésticos, Tienda de mobiliario para bares y restaurantes, Tienda de artículos para hotel, Tienda de mobiliario para supermercados y comercios;;;
Casa y jardín;Alsi Iluminacio;100;4,9;Tienda de iluminación;Av. Rei en Jaume, 59;Cardedeu;08440
Casa y jardín;RugVista;2674;4,8;Diseñador de interiores;Ringugnsgatan 11;Malmö;216 16
Casa y jardín;Alaplancha by Simogas;526;4,8;Tienda de parrillas;Crom, 5;Hospitalet de Llobregat;08907
Casa y jardín;Designer Exchange España;508;4,8;Tienda de objetos de segunda mano, Tienda de bolsos de mano;Calle de Lagasca 39;Madrid;28001
Casa y jardín;Pieles del sol;418;4,8;Fabricante de alfombras;Calle Técnica, 77;Sant Andreu de la Barca;08740
Casa y jardín;AgroGardening;399;4,8;Servicios de paisajismo y jardinería, Tienda agrícola, Vivero, Tienda de artículos para el hogar, Tienda para la reforma del hogar, Tienda de herramientas;Ctra. Valencia, 1-3;Cuenca;16004
Casa y jardín;Barcelonaled;378;4,8;Tienda de iluminación;;;
Casa y jardín;BLAINE Box;375;4,8;Decorador, Envío de flores, Diseñador floral;Ronda del Guinardó, 209;Barcelona;08041
Casa y jardín;GP Murillo SL;359;4,8;Tienda para la reforma del hogar;C/ Emilio Ferrari, 34;Madrid;28017
Casa y jardín;Aprilplants;333;4,8;Servicio de plantas de interior, Floristería, Tienda de arreglos de plantas, Vivero de plantas;c/ Gran via de les Corts Catalanes 727;Barcelona;08013
Casa y jardín;Thebaggingco;240;4,8;Tienda de bolsos, Tienda de bolsos de mano, Tienda de productos de cuero;;;
Casa y jardín;Todolampara;178;4,8;Tienda de decoración e interiorismo;Ctra. Granada-Armilla, Parque Albán Edf. Sánchez – Planta Inferior;Granada;18100
Casa y jardín;Carpet Avenue;154;4,8;Tienda de moquetas;Bargkoppelweg 64;Hamburg;22145
Casa y jardín;Andiar.com Vinilos Decorativos;82;4,8;Diseñador de interiores, Fabricante de alfombras, Tienda de alfombras, Tienda de accesorios para computadoras, Tienda de decoración e interiorismo, Tienda de artículos para el hogar;;;
Casa y jardín;Imaginable Home;52;4,8;Tienda de decoración e interiorismo;;;
Casa y jardín;Herbies Seeds;3296;4,7;Vivero;C/ San Vicente;Alicante;03004
Casa y jardín;CarpetVista;1639;4,7;Diseñador de interiores;Ringugnsgatan 11;Malmö;216 16
Casa y jardín;PHOTOWALL;1493;4,7;Tienda de mobiliario para salones;Fraktflygargatan 18;Skarpnäck;128 21
Casa y jardín;Grifosdefabrica;657;4,7;Tienda de artículos para el hogar;av professor lopez piñero;valencia;46013
Casa y jardín;Arcos;413;4,7;Fabricante de cuchillos, Tienda de cuberterías, Tienda de suministros de cocina, Cuchillería;Avenida Gregorio Arcos, 38;Albacete;02007
Casa y jardín;Creative-Cables ES;405;4,7;Tienda de artículos para el hogar;Carrer dels Treballadors, 1A;Torrent;46909
Casa y jardín;Ofisillas.es;189;4,7;Casa y jardín;C/ Maria Diaz de Haro 15;Portugalete;48920
Casa y jardín;Uptook;118;4,7;Casa y jardín;;;
Casa y jardín;Keramamueblesdejardin;104;4,7;Tienda de mobiliario para jardín, Fabricante de mobiliario, Fábrica de muebles, Tienda de muebles de exterior;;;
Casa y jardín;CBD Barato;100;4,7;Tienda de cannabis, Tienda de flores secas, Envío de flores;Calle Vinapoló 13;València;46021
Casa y jardín;Decoralino;73;4,7;Tienda de decoración e interiorismo;;;
Casa y jardín;ARREGLATELO;62;4,7;Servicio técnico, Tienda de accesorios para teléfonos celulares, Tienda de accesorios de hardware, Tienda de reparación de teléfonos celulares, Servicio de telefonía e Internet, Servicio de reparación;Carrer Vernissa, 15, Bajo;Gandia;46701
Casa y jardín;Piscival;56;4,7;Contratista de piscinas, Servicio de limpieza de piscinas, Servicio de reparación de piscinas;Av. Alacant, 1;Alcasser (Valencia);46220
Casa y jardín;Matiz;40;4,7;Tienda de ropa, Tienda de bolsos, Tienda de artículos de belleza, Tienda de decoración e interiorismo, Tienda de accesorios de moda;;;
Casa y jardín;Cannandalus CBD;32;4,7;Tienda de cannabis, Tienda de insumos de aromaterapia, Tienda de cosméticos, Tienda de flores secas, Tienda de cigarrillos electrónicos, Tienda de hierbas;;;
Casa y jardín;Emoble;31;4,7;Proveedor de muebles a medida;;;
Casa y jardín;ProfesionalDj.es;28;4,7;Tienda de artículos para DJ, Tienda de iluminación, Tienda de instrumentos musicales;Calle Jose Colucho Moñino 19;Molina de Segura;30500
Casa y jardín;Nuvoson;25;4,7;Tienda de colchones;Esteve Cardelús, 64;Sant Celoni;08470
Casa y jardín;Miroytengo.es;3694;4,6;Tienda de muebles, Tienda de muebles para dormitorio, Tienda de artículos para el hogar, Tienda de mobiliario para salones;;;
Casa y jardín;Emma Colchón;1642;4,6;Colchonería, Tienda de colchones;;;
Casa y jardín;MAXCOLCHON;1427;4,6;Colchonería, Tienda de ropa de cama, Tienda de muebles para dormitorio, Tienda de colchones, Fabricante de mobiliario, Comercio;Pol. Ind. Los Vientos C/Siroco;Náquera;46119
Casa y jardín;Hypnia;719;4,6;Colchonería;;;
Casa y jardín;Teletienda.es;481;4,6;Tienda de artículos para el hogar, Tienda de electrodomésticos, Tienda de equipos para fitness, Tienda general, Joyería, Comercio;Avda Quitapesares nº 33 Nave 6  (Parque Empresarial Villapark);Villaviciosa de Odón (Madrid);28670
Casa y jardín;KieferGarden;354;4,6;Tienda de muebles de exterior; Polígono industrial Perogán, Granda-Siero, Asturias;Granda-Siero;33199
Casa y jardín;dormity.com;247;4,6;Tienda de colchones, Tienda de muebles para dormitorio, Fábrica de muebles, Tienda de muebles, Fabricante, Colchonería;Carrer Compositor Schumann;Rubí;08191
Casa y jardín;miniplanta;159;4,6;Servicio de plantas de interior;;;
Casa y jardín;Otovo España;116;4,6;Proveedor de equipos de generación de energía solar;;;
Casa y jardín;TiendaJunior.es;98;4,6;Tienda general;;;
Casa y jardín;Experiencia Natural;71;4,6;Proveedor de semillas, Tienda de cannabis, Proveedor de fertilizantes, Proveedor de equipos para cultivos hidropónicos;Rúa Cabeza de Manzaneda 17;Ourense;32005
Casa y jardín;El Perro Fantasma;58;4,6;Tienda de regalos, Tienda de juguetes para niños, Tienda de ropa, Tienda de artículos coleccionables, Tienda de artículos para el hogar, Tienda de camisetas;;;
Casa y jardín;NG Labs;27;4,6;Investigación y desarrollo de productos, Comercio, Tienda de vitaminas y suplementos;Carrer Pintor Camarón, 8;Benicàssim;12560
Casa y jardín;Materiales de Fábrica;11.726;4,5;Tienda de hágalo usted mismo;;;
Casa y jardín;Eminza;7565;4,5;Tienda de artículos para el hogar, Tienda de artículos navideños, Tienda de mobiliario para jardín, Tienda de lino textil;;;
Casa y jardín;La Tienda HOME;2106;4,5;Tienda de muebles;Avenida de Alicante 150;Gandia;46702
Casa y jardín;Planetahuerto;831;4,5;Casa y jardín;carretera bacarot 12;alicante;03114
Casa y jardín;TaskRabbit España;788;4,5;Fabricante de mobiliario, Tienda para la reforma del hogar;;;
Casa y jardín;Todoluz;568;4,5;Tienda de muebles;asdasd;Granada;18830
Casa y jardín;Bixoto;201;4,5;Comercio, Tienda general;;;
Casa y jardín;Rotopino.es;78;4,5;Tienda de herramientas, Tienda de hágalo usted mismo, Vivero, Tienda para la reforma del hogar;;;
Casa y jardín;Chufamix;55;4,5;Equipos para el procesamiento de alimentos, Tienda de suministros de cocina;Carrer picapedrers 10;Alboraya;46120
Casa y jardín;gardenverdeflora.com;54;4,5;Vivero de plantas;Ctra de Almensilla 65;Palomares del Río;41928
Casa y jardín;Cortinas.es;54;4,5;Fabricante y proveedor de cortinas, Tienda de cortinas, Tienda de decoración e interiorismo, Tienda de artículos para el hogar, Tienda para la reforma del hogar;;;
Casa y jardín;Laamina;46;4,5;Tienda de pósters;Avda. Gran Vía de San Marcos, 23 - 3ºM;León;24001
Casa y jardín;ACE Seeds;36;4,5;Tienda de arreglos de plantas;Apdo 31;Rocafort;46111
Casa y jardín;Almablava;32;4,5;Envío de flores;;Barcelona;08820
Casa y jardín;Supercbd;30;4,5;Smart Shop, Tienda de cannabis;Plaza Careaga;Almeria;04001
Casa y jardín;TDS Recambios;27;4,5;Servicio de reparación de podadoras de césped;;;
Casa y jardín;Westwing España;16.087;4,4;Tienda de muebles;;;
Casa y jardín;es.hudsonreed.com;3727;4,4;Remodelador de baños, Servicio técnico de calefacción y calderas, Diseñador de interiores, Fontanero;;;
Casa y jardín;Trendhim;1785;4,4;Tienda de bolsos y equipaje, Tienda de accesorios de moda, Joyería, Tienda de productos de cuero, Tienda de ropa para hombres, Tienda de ropa de seguridad y de trabajo, Tienda de gafas de sol, Relojería;;;
Casa y jardín;EUROGROW;1594;4,4;Servicio de plantas de interior, Tienda de cannabis;PASEO DEL CEMENTERIO 84;Avila;05004
Casa y jardín;benuta.es;548;4,4;Diseñador de interiores;Hohe Straße 87;Bonn;53119
Casa y jardín;Evergreen Capsules;526;4,4;Comercio;;;
